N,Time(ms),FLOPS
809,1964.521,539037382.650
810,1929.159,550956142.029
811,1943.167,549012751.863
812,1915.430,559025731.037
813,1941.184,553649522.147
814,1948.377,553643513.550
815,2018.464,536391409.507
816,2001.517,542926686.109
817,2030.766,537076662.698
818,2018.891,542221875.277
819,2322.119,473148240.034
820,2372.396,464819532.658
821,2355.030,469962302.816
822,2389.427,464891581.120
823,2064.008,540154657.346
824,2034.500,549988915.213
825,2027.893,553792162.604
826,2062.850,546389680.297
827,2339.053,483622460.030
828,2370.380,478964176.208
829,2356.880,483455066.868
830,2366.675,483198580.287
831,2124.672,540183323.355
832,2127.089,541519765.275
833,2126.414,543647226.739
834,2142.769,541443061.758
835,2855.959,407696941.728
836,2834.827,412213553.772
837,2894.002,405235554.778
838,2843.704,413883070.812
839,2162.094,546312712.583
840,2181.419,543411421.648
841,2186.300,544136962.905
842,2194.171,544121390.721
843,2331.513,513895575.105
844,2311.850,520112969.267
845,2351.560,513149675.109
846,2356.895,513807985.506
847,2376.472,511384458.138
848,2391.887,509890468.906
849,2433.465,502953647.577
850,2436.471,504110247.978
851,2664.027,462679282.905
852,2635.159,469398778.594
853,2665.471,465696664.492
854,2666.212,467206556.718
855,2378.557,525550890.729
856,2413.438,519774708.113
857,2447.961,514242500.595
858,2424.361,521068200.652
859,2704.597,468712920.261
860,2716.532,468285299.050
861,2721.899,468994169.879
862,2799.945,457511792.553
863,2819.313,455951962.056
864,2880.926,447753634.769
865,2818.775,459216947.078
866,2859.268,454285429.697
867,2899.776,449492900.831
868,2898.205,451294530.235
869,2900.410,452511823.501
870,2904.735,453399707.719
871,3241.160,407740630.515
872,3234.212,410025593.870
873,3268.364,407138627.766
874,3258.752,409744358.577
875,2686.067,498812483.084
876,2679.918,501673092.983
877,2678.280,503700981.974
878,2721.422,497413596.274
879,2884.406,470912513.010
880,2912.736,467925689.112
881,2912.012,469639438.986
882,2930.648,468243861.426
883,2869.562,479840050.154
884,2859.383,483186130.714
885,2864.060,484036036.256
886,2879.536,483068422.135
887,3658.683,381483775.993
888,3658.762,382767215.796
889,3681.952,381642872.585
890,3679.219,383216655.491
891,3234.135,437426372.740
892,3251.665,436534690.997
893,3310.916,430166127.440
894,3319.091,430549800.533
895,3056.189,469157748.425
896,3045.440,472393569.402
897,3077.991,468964511.592
898,3074.881,471010612.768
899,3113.143,466777593.577
900,3136.429,464859877.268
901,3160.787,462816824.417
902,3166.584,463509452.457
903,3643.510,404178567.919
904,3662.006,403474633.302
905,3664.937,404491332.320
906,3726.666,399111385.888
907,3258.563,457958089.501
908,3307.856,452627509.783
909,3312.685,453462631.672
910,3339.950,451246874.953
911,3275.624,461626872.315
912,3303.599,459226757.243
913,3283.393,463574416.465
914,3312.581,461001221.706
915,3670.921,417367126.669
916,3697.109,415770969.155
917,3700.117,416795043.508
918,3736.190,414122746.434
919,3519.459,441062992.352
920,3542.918,439574384.730
921,3544.666,440791860.785
922,3545.525,442122082.343
923,3623.504,434016613.201
924,3652.771,431940038.946
925,3661.263,432338854.106
926,3692.455,430078511.993
927,4157.579,383202812.502
928,4167.625,383517591.914
929,4157.646,385682229.319
930,4209.525,382160457.534
931,3604.871,447702284.492
932,3577.189,452622194.690
933,3624.740,448123858.263
934,3640.628,447604371.553
935,3738.733,437260630.807
936,3728.351,439886617.971
937,3754.379,438238629.078
938,3790.513,435452231.400
939,3878.471,426939388.744
940,3883.216,427781508.935
941,3905.525,426696856.889
942,3907.250,427869672.020
943,3935.732,426127493.945
944,3959.605,424907223.827
945,3975.317,424574254.078
946,3991.602,424185846.184
947,4353.954,390118096.333
948,4355.788,391190476.672
949,4415.083,387159357.593
950,4459.263,384536637.556
951,4072.749,422361088.788
952,4100.652,420811816.267
953,4095.418,422678797.134
954,4081.304,425477084.775
955,4624.088,376715959.990
956,4660.376,374958078.919
957,4673.647,375067904.358
958,4710.706,373284986.157
959,4175.143,422488081.965
960,4199.256,421377501.157
961,4202.357,422383762.731
962,4226.411,421292263.341
963,4680.416,381614090.286
964,4710.032,380397137.005
965,4722.411,380581920.972
966,4783.972,376853667.204
967,4442.493,407082718.194
968,4439.043,408664314.358
969,4470.151,407079406.937
970,4476.270,407782819.178
971,4342.159,421678990.106
972,4374.918,419815890.492
973,4429.862,415889848.036
974,4450.959,415196106.727
975,4435.009,417974067.245
976,4431.006,419640224.364
977,4447.464,419373752.323
978,4472.147,418341057.215
979,4675.164,401403561.030
980,4705.494,400039613.269
981,4731.680,399044796.351
982,4795.946,394902764.960
983,4705.747,403702998.482
984,4681.650,407020560.700
985,4725.431,404480194.505
986,4597.811,416974623.794
987,4751.633,404704994.262
988,4725.679,408165798.820
989,4784.327,404387772.408
990,4805.126,403859961.216
991,5343.818,364249782.085
992,5378.220,363016569.794
993,5378.182,364118081.909
994,5418.567,362497237.369
995,4901.001,401989256.889
996,4969.075,397678817.889
997,4966.819,399059024.700
998,4963.162,400555932.690
999,4946.046,403151527.099
1000,4944.837,404462270.445
