N,Time(ms),FLOPS
822,2320.598,478680278.101
823,2031.517,548793603.007
824,2039.262,548704603.920
825,2050.911,547576784.171
826,2084.181,540797537.258
827,2318.293,487953233.694
828,2373.866,478260821.799
829,2395.462,475668400.501
830,2391.469,478188929.064
831,2108.675,544281305.559
832,2109.635,546000012.324
833,2128.626,543082285.944
834,2138.867,542430832.773
835,2793.945,416746124.208
836,2809.958,415861771.599
837,2803.679,418290576.774
838,2850.585,412884002.407
839,2178.565,542182325.522
840,2211.065,536125351.358
841,2245.312,529835783.178
842,2204.428,541589644.116
843,2302.482,520375062.215
844,2307.091,521185843.125
845,2328.368,518260966.480
846,2370.136,510937546.200
847,2451.985,495635514.083
848,2496.966,488432915.787
849,2442.581,501076565.322
850,2465.000,498275862.069
851,2639.029,467061976.962
852,2660.043,465007676.944
853,2669.902,464923788.963
854,2652.200,469674884.247
855,2448.187,510603458.804
856,2474.288,506991923.333
857,2435.731,516824553.286
858,2493.102,506701059.162
859,2843.674,445789340.832
860,2898.212,438929933.352
861,2889.527,441786756.794
862,2914.790,439485470.994
863,2832.081,453896373.020
864,2842.776,453762480.055
865,2808.366,460919000.586
866,2832.501,458578405.445
867,2933.626,444306372.387
868,2941.171,444701808.905
869,2991.005,438805624.865
870,2963.242,444447669.141
871,3220.326,410378521.305
872,3228.332,410772403.830
873,3234.883,411352507.649
874,3262.337,409294088.256
875,2834.616,472672047.995
876,2840.863,473251526.737
877,2833.097,476175812.547
878,2869.068,471816040.610
879,2982.195,455470845.468
880,3020.849,451179122.161
881,3035.867,450479445.246
882,3053.754,449367544.341
883,3007.942,457765067.943
884,3072.090,449731032.619
885,3044.953,455280672.641
886,3064.125,453967417.126
887,3588.576,388936504.619
888,3639.175,384827369.940
889,3631.573,386937213.709
890,3629.871,388426475.762
891,3526.639,401145663.619
892,3523.842,402817315.873
893,3562.529,399784510.947
894,3559.153,401509563.652
895,3175.433,451539915.974
896,3141.868,457895198.653
897,3210.909,449551371.901
898,3174.594,456216317.425
899,3199.978,454111058.889
900,3216.299,453316062.966
901,3215.869,454889612.108
902,3261.680,449995590.003
903,3669.828,401280020.208
904,3735.402,395546858.946
905,3681.476,402674158.408
906,3735.484,398169241.790
907,3349.189,445566161.241
908,3406.278,439549157.174
909,3399.791,441844471.616
910,3421.145,440537305.493
911,3324.501,454840008.170
912,3336.742,454665375.987
913,3397.387,448019902.943
914,3353.600,455362562.023
915,3743.924,409228859.881
916,3738.049,411217346.803
917,3736.902,412692231.694
918,3734.969,414258127.444
919,3394.239,457334653.806
920,3533.950,440689879.596
921,3497.927,446681683.752
922,3383.646,463273905.131
923,3659.137,429790121.004
924,3681.881,428524997.956
925,3706.076,427111114.289
926,3709.026,428157028.826
927,4138.460,384973146.049
928,4136.097,386441010.450
929,4147.291,386645204.785
930,4154.354,387235656.855
931,3633.821,444135520.709
932,3617.511,447577114.762
933,3644.832,445653592.264
934,3683.497,442395095.747
935,3676.845,444620523.846
936,3680.952,445550963.990
937,3683.839,446630242.527
938,3724.763,443138890.716
939,3816.508,433870972.627
940,3847.935,431703757.990
941,3849.308,432928526.894
942,3877.041,431203532.797
943,3837.773,437004380.926
944,3869.909,434755641.024
945,3898.676,432920624.848
946,3917.284,432233422.953
947,4301.729,394854312.301
948,4356.593,391118193.506
949,4350.814,392878366.669
950,4444.303,385831029.073
951,4017.457,428174017.046
952,4047.411,426347315.852
953,4039.449,428535266.567
954,4070.629,426592874.959
955,4674.743,372633907.361
956,4692.046,372427216.613
957,4674.259,375018796.776
958,4745.985,370510194.196
959,4160.352,423990123.432
960,4159.300,425425432.164
961,4166.660,426002448.484
962,4199.862,423955419.488
963,4835.939,369341444.133
964,4833.999,370641923.592
965,4853.796,370280137.443
966,4879.951,369441699.722
967,4447.451,406628904.062
968,4528.560,400586160.722
969,4464.553,407589834.413
970,4546.113,401517956.109
971,4382.763,417772355.475
972,4429.429,414649404.246
973,4432.329,415658366.967
974,4487.233,411839734.643
975,4486.194,413205213.595
976,4494.312,413729254.222
977,4490.041,415397023.323
978,4523.650,413578129.166
979,4709.004,398518981.509
980,4707.472,399871523.399
981,4696.936,401996595.653
982,4737.829,399746874.782
983,4778.835,397528722.795
984,4754.261,400804206.584
985,4806.403,397666040.488
986,4863.227,394217771.862
987,4824.772,398570047.662
988,4842.386,398328539.691
989,4918.834,393329666.746
990,4843.546,400656461.196
991,5641.305,345041535.957
992,5348.796,365013542.487
993,5421.521,361207364.870
994,5384.219,364809746.409
995,4908.180,401401283.164
996,4936.239,400324188.517
997,4935.302,401607428.684
998,4993.572,398116615.521
999,4934.897,404062333.621
1000,5011.849,399054321.070
